amount,category,mandate_variant,debit_type,seq_type,freq_type,up_to_40_years,start_date,upto_date,status
38963.46,INSUARANCE_PREMIUM,E_NACH_AADHAAR_NETBANKING_CREDITCARD,ONE_TIME,RECURRING,QUARTERLY,False,2023-02-21,2028-06-30,APPROVED
12999.36,SUBSCRIPTION_FEES,E_NACH_AADHAAR_NETBANKING_CREDITCARD,VARIABLE,RECURRING,WEEKLY,True,2023-09-21,2026-10-17,APPROVED
35629.2,SUBSCRIPTION_FEES,E_NACH_AADHAAR_NETBANKING_CREDITCARD,ONE_TIME,ONE_TIME,YEARLY,False,2023-06-23,2027-08-17,APPROVED
65380.46,B2B_CORPORATE,E_NACH_AADHAAR_NETBANKING_CREDITCARD,ONE_TIME,ONE_TIME,ADHO,False,2023-01-02,2023-10-03,REJECTED
85275.32,BILL_PAYMENT_CREDIT_CARD,E_NACH_AADHAAR_NETBANKING_CREDITCARD,ONE_TIME,RECURRING,QUARTERLY,True,2023-12-11,2025-12-01,REJECTED
50727.32,EMI_LOAN_REPAYMENT,E_NACH_AADHAAR_NETBANKING_CREDITCARD,VARIABLE,RECURRING,WEEKLY,False,2023-05-18,2027-11-22,REJECTED
68506.97,SUBSCRIPTION_FEES,E_NACH_AADHAAR_NETBANKING_CREDITCARD,VARIABLE,RECURRING,YEARLY,False,2023-06-26,2026-08-02,REJECTED
87365.66,SUBSCRIPTION_FEES,E_NACH_AADHAAR_NETBANKING_CREDITCARD,ONE_TIME,ONE_TIME,SEMI_ANNUALLY,False,2023-07-16,2027-11-19,REJECTED
50413.54,EMI_LOAN_REPAYMENT,E_NACH_AADHAAR_NETBANKING_CREDITCARD,ONE_TIME,ONE_TIME,DAILY,False,2023-10-19,2027-06-20,REJECTED
5148.4,INSUARANCE_OTHER_PAYMENT,E_NACH_AADHAAR_NETBANKING_CREDITCARD,ONE_TIME,ONE_TIME,ADHO,False,2023-07-23,2026-02-01,APPROVED
41499.25,SUBSCRIPTION_FEES,E_NACH_AADHAAR_NETBANKING_CREDITCARD,VARIABLE,ONE_TIME,BY_MONTHLY,True,2023-02-26,2024-10-31,APPROVED
93141.49,INSUARANCE_PREMIUM,E_NACH_AADHAAR_NETBANKING_CREDITCARD,FIXED,RECURRING,SEMI_ANNUALLY,False,2023-02-16,2029-02-17,APPROVED
44807.06,INSUARANCE_OTHER_PAYMENT,E_NACH_AADHAAR_NETBANKING_CREDITCARD,VARIABLE,RECURRING,ADHO,True,2023-07-09,2029-07-18,APPROVED
27494.7,INSUARANCE_OTHER_PAYMENT,E_NACH_AADHAAR_NETBANKING_CREDITCARD,VARIABLE,ONE_TIME,INTRA_DAY,True,2023-06-06,2025-04-27,APPROVED
6825.39,INSUARANCE_OTHER_PAYMENT,E_NACH_AADHAAR_NETBANKING_CREDITCARD,VARIABLE,RECURRING,DAILY,False,2023-06-14,2024-10-23,APPROVED
49035.74,EMI_LOAN_REPAYMENT,E_NACH_AADHAAR_NETBANKING_CREDITCARD,FIXED,ONE_TIME,BY_MONTHLY,False,2023-06-01,2026-07-14,APPROVED
23701.84,SUBSCRIPTION_FEES,E_NACH_AADHAAR_NETBANKING_CREDITCARD,ONE_TIME,RECURRING,QUARTERLY,True,2023-10-25,2028-04-09,APPROVED
14599.8,BILL_PAYMENT_CREDIT_CARD,E_NACH_AADHAAR_NETBANKING_CREDITCARD,VARIABLE,RECURRING,DAILY,False,2023-08-15,2023-08-17,APPROVED
1622.49,INSUARANCE_OTHER_PAYMENT,E_NACH_AADHAAR_NETBANKING_CREDITCARD,VARIABLE,ONE_TIME,INTRA_DAY,True,2023-11-19,2029-05-27,APPROVED
11803.25,INSUARANCE_OTHER_PAYMENT,E_NACH_AADHAAR_NETBANKING_CREDITCARD,FIXED,ONE_TIME,MONTHLY,True,2023-10-30,2025-06-10,APPROVED
10751.04,BILL_PAYMENT_CREDIT_CARD,E_NACH_AADHAAR_NETBANKING_CREDITCARD,ONE_TIME,RECURRING,ADHO,False,2023-07-11,2029-09-02,APPROVED
64830.83,BILL_PAYMENT_CREDIT_CARD,E_NACH_AADHAAR_NETBANKING_CREDITCARD,FIXED,ONE_TIME,DAILY,False,2023-06-21,2029-11-18,REJECTED
49484.73,EMI_LOAN_REPAYMENT,E_NACH_AADHAAR_NETBANKING_CREDITCARD,ONE_TIME,ONE_TIME,MONTHLY,False,2023-11-04,2028-07-05,APPROVED
38328.68,INSUARANCE_PREMIUM,E_NACH_AADHAAR_NETBANKING_CREDITCARD,ONE_TIME,ONE_TIME,YEARLY,False,2023-09-25,2025-04-30,APPROVED
37230.76,EMI_LOAN_REPAYMENT,E_NACH_AADHAAR_NETBANKING_CREDITCARD,VARIABLE,ONE_TIME,ADHO,False,2023-09-17,2027-08-05,APPROVED
78034.2,INSUARANCE_PREMIUM,E_NACH_AADHAAR_NETBANKING_CREDITCARD,ONE_TIME,ONE_TIME,ADHO,True,2023-05-28,2025-11-09,REJECTED
51124.59,INSUARANCE_OTHER_PAYMENT,E_NACH_AADHAAR_NETBANKING_CREDITCARD,ONE_TIME,ONE_TIME,INTRA_DAY,True,2023-05-24,2027-03-15,REJECTED
95199.54,EMI_LOAN_REPAYMENT,E_NACH_AADHAAR_NETBANKING_CREDITCARD,FIXED,RECURRING,DAILY,False,2023-11-10,2028-02-21,APPROVED
73285.29,INSUARANCE_OTHER_PAYMENT,E_NACH_AADHAAR_NETBANKING_CREDITCARD,FIXED,ONE_TIME,SEMI_ANNUALLY,True,2023-08-18,2025-02-27,REJECTED
41052.69,BILL_PAYMENT_CREDIT_CARD,E_NACH_AADHAAR_NETBANKING_CREDITCARD,FIXED,RECURRING,YEARLY,False,2023-12-31,2025-01-04,APPROVED
79137.17,INSUARANCE_PREMIUM,E_NACH_AADHAAR_NETBANKING_CREDITCARD,FIXED,ONE_TIME,YEARLY,False,2023-06-20,2026-01-22,REJECTED
31812.52,SUBSCRIPTION_FEES,E_NACH_AADHAAR_NETBANKING_CREDITCARD,VARIABLE,ONE_TIME,ADHO,False,2023-12-03,2024-06-17,APPROVED
41674.39,INSUARANCE_OTHER_PAYMENT,E_NACH_AADHAAR_NETBANKING_CREDITCARD,ONE_TIME,RECURRING,SEMI_ANNUALLY,False,2023-02-26,2029-08-26,APPROVED
29854.71,EMI_LOAN_REPAYMENT,E_NACH_AADHAAR_NETBANKING_CREDITCARD,ONE_TIME,ONE_TIME,INTRA_DAY,False,2023-02-22,2026-12-20,APPROVED
33006.33,EMI_LOAN_REPAYMENT,E_NACH_AADHAAR_NETBANKING_CREDITCARD,ONE_TIME,RECURRING,QUARTERLY,False,2023-06-08,2026-04-24,APPROVED
60915.72,INSUARANCE_OTHER_PAYMENT,E_NACH_AADHAAR_NETBANKING_CREDITCARD,VARIABLE,ONE_TIME,MONTHLY,True,2023-02-25,2028-02-21,REJECTED
84790.76,INSUARANCE_OTHER_PAYMENT,E_NACH_AADHAAR_NETBANKING_CREDITCARD,VARIABLE,ONE_TIME,SEMI_ANNUALLY,False,2023-06-02,2025-09-28,REJECTED
58707.7,INSUARANCE_OTHER_PAYMENT,E_NACH_AADHAAR_NETBANKING_CREDITCARD,FIXED,RECURRING,QUARTERLY,True,2023-10-04,2024-01-24,APPROVED
47932.06,B2B_CORPORATE,E_NACH_AADHAAR_NETBANKING_CREDITCARD,VARIABLE,ONE_TIME,QUARTERLY,False,2023-04-25,2028-06-16,APPROVED
16340.53,B2B_CORPORATE,E_NACH_AADHAAR_NETBANKING_CREDITCARD,FIXED,ONE_TIME,DAILY,True,2023-06-09,2026-12-05,APPROVED
6629.91,INSUARANCE_PREMIUM,E_NACH_AADHAAR_NETBANKING_CREDITCARD,FIXED,RECURRING,WEEKLY,True,2023-02-13,2026-09-20,APPROVED
79489.38,BILL_PAYMENT_CREDIT_CARD,E_NACH_AADHAAR_NETBANKING_CREDITCARD,VARIABLE,RECURRING,ADHO,True,2023-10-20,2029-06-02,REJECTED
50957.48,SUBSCRIPTION_FEES,E_NACH_AADHAAR_NETBANKING_CREDITCARD,VARIABLE,RECURRING,ADHO,False,2023-07-28,2029-07-10,REJECTED
31503.64,SUBSCRIPTION_FEES,E_NACH_AADHAAR_NETBANKING_CREDITCARD,ONE_TIME,ONE_TIME,DAILY,True,2023-07-27,2024-11-24,APPROVED
31697.04,INSUARANCE_OTHER_PAYMENT,E_NACH_AADHAAR_NETBANKING_CREDITCARD,ONE_TIME,RECURRING,QUARTERLY,True,2023-06-06,2024-06-13,APPROVED
80746.37,INSUARANCE_PREMIUM,E_NACH_AADHAAR_NETBANKING_CREDITCARD,VARIABLE,ONE_TIME,SEMI_ANNUALLY,False,2023-12-26,2028-03-14,REJECTED
72196.37,B2B_CORPORATE,E_NACH_AADHAAR_NETBANKING_CREDITCARD,FIXED,RECURRING,MONTHLY,False,2023-03-20,2028-02-13,APPROVED
49562.73,INSUARANCE_PREMIUM,E_NACH_AADHAAR_NETBANKING_CREDITCARD,FIXED,ONE_TIME,BY_MONTHLY,True,2023-11-16,2027-06-26,APPROVED
88336.88,INSUARANCE_OTHER_PAYMENT,E_NACH_AADHAAR_NETBANKING_CREDITCARD,VARIABLE,RECURRING,INTRA_DAY,False,2023-03-15,2028-07-18,REJECTED
46658.19,EMI_LOAN_REPAYMENT,E_NACH_AADHAAR_NETBANKING_CREDITCARD,FIXED,RECURRING,DAILY,True,2023-06-22,2027-11-11,APPROVED
84768.82,SUBSCRIPTION_FEES,E_NACH_AADHAAR_NETBANKING_CREDITCARD,ONE_TIME,ONE_TIME,INTRA_DAY,True,2023-09-12,2023-11-05,REJECTED
47658.68,B2B_CORPORATE,E_NACH_AADHAAR_NETBANKING_CREDITCARD,VARIABLE,ONE_TIME,WEEKLY,True,2023-05-02,2024-04-11,APPROVED
6019.38,INSUARANCE_OTHER_PAYMENT,E_NACH_AADHAAR_NETBANKING_CREDITCARD,ONE_TIME,RECURRING,YEARLY,True,2023-01-28,2023-06-29,APPROVED
21170.25,INSUARANCE_OTHER_PAYMENT,E_NACH_AADHAAR_NETBANKING_CREDITCARD,ONE_TIME,RECURRING,ADHO,True,2023-01-13,2029-02-22,APPROVED
33374.09,INSUARANCE_PREMIUM,E_NACH_AADHAAR_NETBANKING_CREDITCARD,ONE_TIME,RECURRING,YEARLY,False,2023-08-29,2024-02-08,APPROVED
12796.37,BILL_PAYMENT_CREDIT_CARD,E_NACH_AADHAAR_NETBANKING_CREDITCARD,VARIABLE,ONE_TIME,DAILY,True,2023-06-24,2025-07-26,APPROVED
21122.0,BILL_PAYMENT_CREDIT_CARD,E_NACH_AADHAAR_NETBANKING_CREDITCARD,ONE_TIME,ONE_TIME,DAILY,False,2023-01-09,2029-07-10,APPROVED
32355.91,INSUARANCE_PREMIUM,E_NACH_AADHAAR_NETBANKING_CREDITCARD,FIXED,RECURRING,YEARLY,False,2023-02-18,2023-03-05,APPROVED
95789.7,EMI_LOAN_REPAYMENT,E_NACH_AADHAAR_NETBANKING_CREDITCARD,ONE_TIME,ONE_TIME,SEMI_ANNUALLY,True,2023-07-14,2028-08-31,REJECTED
35738.29,BILL_PAYMENT_CREDIT_CARD,E_NACH_AADHAAR_NETBANKING_CREDITCARD,ONE_TIME,RECURRING,SEMI_ANNUALLY,False,2023-11-30,2028-05-29,APPROVED
34459.78,INSUARANCE_PREMIUM,E_NACH_AADHAAR_NETBANKING_CREDITCARD,FIXED,ONE_TIME,WEEKLY,False,2023-03-04,2026-08-30,APPROVED
1576.21,INSUARANCE_PREMIUM,E_NACH_AADHAAR_NETBANKING_CREDITCARD,ONE_TIME,ONE_TIME,SEMI_ANNUALLY,True,2023-11-29,2025-04-29,APPROVED
49159.56,SUBSCRIPTION_FEES,E_NACH_AADHAAR_NETBANKING_CREDITCARD,ONE_TIME,ONE_TIME,DAILY,False,2023-12-29,2025-02-17,APPROVED
77196.27,EMI_LOAN_REPAYMENT,E_NACH_AADHAAR_NETBANKING_CREDITCARD,ONE_TIME,ONE_TIME,YEARLY,False,2023-06-01,2028-01-09,REJECTED
84978.57,EMI_LOAN_REPAYMENT,E_NACH_AADHAAR_NETBANKING_CREDITCARD,FIXED,RECURRING,MONTHLY,False,2023-08-18,2028-06-12,APPROVED
6265.34,SUBSCRIPTION_FEES,E_NACH_AADHAAR_NETBANKING_CREDITCARD,FIXED,RECURRING,WEEKLY,True,2023-12-20,2027-05-26,APPROVED
81275.73,B2B_CORPORATE,E_NACH_AADHAAR_NETBANKING_CREDITCARD,VARIABLE,RECURRING,ADHO,False,2023-07-16,2025-09-22,REJECTED
42131.28,INSUARANCE_OTHER_PAYMENT,E_NACH_AADHAAR_NETBANKING_CREDITCARD,ONE_TIME,RECURRING,INTRA_DAY,False,2023-02-25,2023-11-02,APPROVED
31683.1,BILL_PAYMENT_CREDIT_CARD,E_NACH_AADHAAR_NETBANKING_CREDITCARD,VARIABLE,ONE_TIME,YEARLY,False,2023-10-11,2028-11-17,APPROVED
96586.36,B2B_CORPORATE,E_NACH_AADHAAR_NETBANKING_CREDITCARD,FIXED,RECURRING,DAILY,True,2023-08-31,2023-09-28,APPROVED
11159.78,INSUARANCE_PREMIUM,E_NACH_AADHAAR_NETBANKING_CREDITCARD,VARIABLE,ONE_TIME,DAILY,False,2023-04-28,2024-06-09,APPROVED
12073.16,INSUARANCE_OTHER_PAYMENT,E_NACH_AADHAAR_NETBANKING_CREDITCARD,FIXED,RECURRING,ADHO,True,2023-05-07,2029-05-27,APPROVED
90661.91,BILL_PAYMENT_CREDIT_CARD,E_NACH_AADHAAR_NETBANKING_CREDITCARD,ONE_TIME,RECURRING,MONTHLY,False,2023-03-01,2028-03-04,REJECTED
72203.04,B2B_CORPORATE,E_NACH_AADHAAR_NETBANKING_CREDITCARD,VARIABLE,RECURRING,SEMI_ANNUALLY,False,2023-11-03,2025-06-25,REJECTED
88833.2,EMI_LOAN_REPAYMENT,E_NACH_AADHAAR_NETBANKING_CREDITCARD,VARIABLE,ONE_TIME,INTRA_DAY,False,2023-08-10,2024-05-30,REJECTED
54264.14,EMI_LOAN_REPAYMENT,E_NACH_AADHAAR_NETBANKING_CREDITCARD,FIXED,ONE_TIME,DAILY,False,2023-09-16,2029-07-19,REJECTED
25270.62,INSUARANCE_PREMIUM,E_NACH_AADHAAR_NETBANKING_CREDITCARD,FIXED,ONE_TIME,YEARLY,False,2023-08-25,2026-08-05,APPROVED
12879.81,INSUARANCE_PREMIUM,E_NACH_AADHAAR_NETBANKING_CREDITCARD,ONE_TIME,RECURRING,ADHO,True,2023-06-30,2029-04-12,APPROVED
61886.23,INSUARANCE_PREMIUM,E_NACH_AADHAAR_NETBANKING_CREDITCARD,ONE_TIME,RECURRING,INTRA_DAY,False,2023-09-03,2029-12-31,REJECTED
24846.93,INSUARANCE_OTHER_PAYMENT,E_NACH_AADHAAR_NETBANKING_CREDITCARD,VARIABLE,RECURRING,WEEKLY,False,2023-02-12,2026-09-14,APPROVED
10431.56,INSUARANCE_OTHER_PAYMENT,E_NACH_AADHAAR_NETBANKING_CREDITCARD,ONE_TIME,RECURRING,MONTHLY,False,2023-03-03,2024-05-13,APPROVED
46175.18,INSUARANCE_OTHER_PAYMENT,E_NACH_AADHAAR_NETBANKING_CREDITCARD,FIXED,RECURRING,ADHO,False,2023-04-06,2026-07-10,APPROVED
84173.39,BILL_PAYMENT_CREDIT_CARD,E_NACH_AADHAAR_NETBANKING_CREDITCARD,VARIABLE,RECURRING,QUARTERLY,False,2023-02-07,2023-06-12,REJECTED
47855.81,SUBSCRIPTION_FEES,E_NACH_AADHAAR_NETBANKING_CREDITCARD,FIXED,ONE_TIME,YEARLY,True,2023-05-17,2027-02-01,APPROVED
98031.5,INSUARANCE_PREMIUM,E_NACH_AADHAAR_NETBANKING_CREDITCARD,VARIABLE,RECURRING,DAILY,True,2023-12-13,2027-04-19,REJECTED
28863.97,INSUARANCE_OTHER_PAYMENT,E_NACH_AADHAAR_NETBANKING_CREDITCARD,ONE_TIME,RECURRING,WEEKLY,True,2023-08-18,2023-08-29,APPROVED
48192.29,EMI_LOAN_REPAYMENT,E_NACH_AADHAAR_NETBANKING_CREDITCARD,VARIABLE,ONE_TIME,MONTHLY,True,2023-05-10,2025-08-30,APPROVED
45366.93,B2B_CORPORATE,E_NACH_AADHAAR_NETBANKING_CREDITCARD,ONE_TIME,RECURRING,MONTHLY,False,2023-02-07,2028-09-08,APPROVED
38339.74,B2B_CORPORATE,E_NACH_AADHAAR_NETBANKING_CREDITCARD,ONE_TIME,ONE_TIME,DAILY,False,2023-12-07,2027-03-15,APPROVED
51945.35,EMI_LOAN_REPAYMENT,E_NACH_AADHAAR_NETBANKING_CREDITCARD,VARIABLE,ONE_TIME,ADHO,True,2023-08-02,2027-09-12,REJECTED
28592.89,BILL_PAYMENT_CREDIT_CARD,E_NACH_AADHAAR_NETBANKING_CREDITCARD,FIXED,ONE_TIME,YEARLY,True,2023-10-15,2027-04-12,APPROVED
7952.84,B2B_CORPORATE,E_NACH_AADHAAR_NETBANKING_CREDITCARD,ONE_TIME,RECURRING,SEMI_ANNUALLY,True,2023-04-29,2027-11-09,APPROVED
97992.67,B2B_CORPORATE,E_NACH_AADHAAR_NETBANKING_CREDITCARD,ONE_TIME,ONE_TIME,MONTHLY,False,2023-10-19,2028-05-08,REJECTED
99621.48,SUBSCRIPTION_FEES,E_NACH_AADHAAR_NETBANKING_CREDITCARD,ONE_TIME,ONE_TIME,SEMI_ANNUALLY,True,2023-04-26,2024-06-04,REJECTED
51436.73,INSUARANCE_PREMIUM,E_NACH_AADHAAR_NETBANKING_CREDITCARD,FIXED,RECURRING,YEARLY,False,2023-03-20,2026-07-26,APPROVED
